MU_GLOBAL	T_USDA_TEX	S_USDA_TEX
11000	9	5
11001	7	7
11013	3	3
11014	9	9
11015	3	3
11016	3	3
11017	9	9
11018	9	9
11020	9	9
11024	9	9
11032	11	11
11035	9	9
11049	9	9
11052	10	10
11053	12	11
11056	10	10
11057	10	10
11064	10	10
11065	9	5
11086	9	9
11087	9	9
11103	7	5
11105	9	9
11108	9	5
11110	12	10
11111	9	9
11112	9	9
11113	9	5
11138	9	9
11323	9	9
11327	9	9
11328	9	9
11331	3	3
11334	9	9
11335	12	12
11337	9	9
11339	11	10
11340	9	9
11341	9	9
11343	9	9
11356	13	13
11357	13	13
11365	9	0
11366	3	3
11367	9	0
11368	3	3
11369	3	3
11370	9	9
11374	9	9
11375	9	9
11376	9	9
11377	9	9
11378	9	0
11385	9	0
11388	9	9
11389	9	9
11394	9	9
11400	9	9
11404	9	9
11413	9	9
11416	9	9
11425	2	5
11448	9	9
11449	9	9
11453	9	9
11460	9	9
11483	9	9
11535	3	3
11538	3	3
11539	9	5
11540	9	5
11551	5	10
11552	3	10
11553	3	10
11604	7	9
11605	7	9
11613	7	9
11617	4	4
11627	7	9
11645	7	9
11647	7	9
11648	13	13
11649	13	13
11653	7	9
11654	13	13
11663	9	5
11668	7	9
11669	7	9
11675	7	9
11677	7	9
11704	11	0
11705	11	0
11706	11	0
11711	11	0
11712	11	0
11713	9	9
11714	9	9
11715	9	9
11719	9	9
11721	9	9
11722	9	9
11723	9	0
11724	9	0
11725	9	0
11726	11	11
11727	9	0
11728	9	5
11730	11	0
11732	9	9
11736	11	0
11738	9	9
11741	11	0
11743	9	9
11765	11	0
11782	3	3
11798	10	10
11804	3	3
11805	3	3
11806	3	3
11808	3	3
11809	10	5
11811	10	5
11812	3	3
11814	10	5
11815	10	5
11816	3	3
11817	11	10
11818	3	3
11819	10	5
11821	10	5
11822	3	3
11823	5	5
11826	9	10
11827	9	10
11828	9	10
11830	3	3
11831	9	10
11832	9	10
11833	3	3
11834	10	10
11835	10	10
11836	10	10
11837	3	3
11838	10	10
11839	9	5
11841	3	3
11842	9	5
11843	3	3
11844	9	5
11846	9	5
11847	3	3
11848	3	3
11849	11	11
11851	9	9
11852	9	9
11853	9	9
11854	9	9
11855	9	9
11857	12	11
11858	9	5
11859	9	5
11861	9	5
11863	3	3
11864	9	5
11866	9	5
11867	12	11
11868	3	3
11869	9	5
11870	9	9
11871	9	9
11872	9	9
11874	9	9
11875	3	3
11876	9	5
11878	9	9
11879	9	5
11880	9	5
11881	9	5
11883	9	5
11884	9	5
11889	9	5
11890	12	12
11892	9	5
11893	9	5
11899	9	9
11900	11	11
11908	9	9
11909	9	5
11911	9	5
11917	9	5
11918	9	5
11920	9	9
11925	0	0
11926	0	0
11927	0	0
11928	0	0
11929	0	0
11930	0	0
