"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17"
"1" 0 0 0 0 0 0 "0" 0 0 0 0 0 0 0 0 0 0
"2" 30 50 20 0 0 2.5 "           Clay" 29.9 42 48.8 0.12 0.78 1.36 48.8 4 4 0.775
"3" 33 34 33 0 0 2.5 "      Clay Loam" 21.3 35 47.2 0.14 4.56 1.4 47.2 5 5 4.56
"4" 42 18 40 0 0 2.5 "           Loam" 12.6 26.7 45.8 0.14 18.6 1.44 45.8 4 4 18.6
"5" 82 6 12 0 0 2.5 "     Loamy Sand" 5.7 12.1 45.7 0.06 91.26 1.44 45.7 0 0 91.3
"6" 92 5 3 0 0 2.5 "           Sand" 5 9.4 46.3 0.04 114.05 1.42 45.7 1 1 95.6
"7" 52 42 6 0 0 2.5 "     Sandy Clay" 26 37.1 44 0.11 0.84 1.48 44 4 4 0.836
"8" 60 28 12 0 0 2.5 "Sandy Clay Loam" 18.3 28.3 43.2 0.1 7.84 1.51 43.2 2 2 7.84
"9" 65 10 25 0 0 2.5 "     Sandy Loam" 8.1 17.9 45 0.1 50.34 1.46 43.2 3 3 30
"10" 7 6 87 0 0 2.5 "           Silt" 6.3 31.6 48.2 0.25 18.95 1.37 43.2 18 18 8.07
"11" 7 47 46 0 0 2.5 "     Silty Clay" 27.8 41.6 53.2 0.14 3.81 1.24 43.2 29 29 0.0396
"12" 10 34 56 0 0 2.5 "Silty Clay Loam" 21 37.9 51 0.17 5.93 1.3 43.2 22 22 0.42
"13" 20 20 60 0 0 2.5 "     Silty Loam" 13.7 32.1 48.2 0.18 12.19 1.37 43.2 15 15 3.27
