Clay	3	29.9	31.8	33.6	35.5	37.4	39.3	41.1	43	44.9	46.7	48.6	1500	755	406	219	122	70	42	29	21	13	4
ClayHeave	1	29.9	31.8	33.6	35.5	37.4	39.3	41.1	43	44.9	46.7	48.6	1500	755	406	219	122	70	42	29	21	13	4
ClayLoam	5	21.3	23.9	26.5	29	31.6	34.2	36.7	39.3	41.9	44.5	47	1500	620	281	141	73	40	29	23	17	11	5
Loam	9	12.6	15.9	19.2	22.5	25.8	29.1	32.4	35.7	39	42.3	45.6	1500	461	177	79	39	30	24	19	14	9	4
LoamySand	12	5.7	9.7	13.7	17.7	21.7	25.7	29.6	33.6	37.6	41.6	45.6	1500	100	32	28	24	20	16	12	8	4	0
Sand	13	5	9.1	13.2	17.3	21.4	25.5	29.7	33.8	37.9	42	46.1	1500	41	30	26	22	19	15	11	8	4	0
SandyClay	8	26	27.8	29.6	31.4	33.2	35	36.7	38.5	40.3	42.1	43.9	1500	733	373	197	108	61	37	27	19	11	4
SandyClayLoam	10	18.3	20.8	23.3	25.8	28.3	30.8	33.2	35.7	38.2	40.7	43.2	1500	485	181	75	33	28	23	18	13	7	2
SandyLoam	11	8.1	11.8	15.5	19.2	22.9	26.5	30.2	33.9	37.6	41.3	45	1500	245	67	32	27	23	19	14	10	5	1
Silt	6	6.3	10.5	14.7	18.9	23.1	27.3	31.4	35.6	39.8	44	48.2	1500	448	203	112	70	47	34	28	23	17	12
SiltyClay	2	27.8	30.3	32.9	35.4	38	40.5	43	45.6	48.1	50.7	53.2	1500	657	303	152	78	43	30	23	17	10	4
SiltyClayLoam	4	21	24	27	30	33	36	39	42	45	48	51	1500	633	297	151	81	47	31	25	19	10	6
SiltyLoam	7	13.7	17.2	20.6	24	27.5	31	34.4	37.85	41.3	44.75	48.2	1500	543	240	122	66	39	30	24	18	12	7
Other	0	13.7	17.2	20.6	24	27.5	31	34.4	37.85	41.3	44.75	48.2	1500	543	240	122	66	39	30	24	18	12	7
